Benchmark,Ranges,Invariant
pendulum_approx,none,-
rotation_nondet_small_angle,none,-
rotation_nondet_large_angle,none,-
nonlin_example1,none,-
nonlin_example2,none,-
nonlin_example3,none,-
arrow_hurwicz,none,-
harmonic,none,-
symplectic,none,-
filter_goubault,none,-
filter_mine1,none,-
filter_mine2,none,-
filter_mine2_nondet,none,-
pendulum_small,none,-
ex1,"-16.00 <= y <= 16.00
-16.00 <= x <= 16.00
 -1.00 <= in0 <= 1.00",0.02*y^2+ -0.03*y*x+0.02*x^2 <= 1.00
ex1_reset,"-16.00 <= y <= 16.00
-16.00 <= x <= 16.00
 -1.00 <= in0 <= 1.00",0.02*y^2+ -0.03*y*x+0.02*x^2 <= 1.00
ex2,"-1.64<=x0<=1.6
-1.64<=x1<=1.6
-1.0<=x2<=1.0
-1.0<=x3<=1.0
-1.0<=in0<=1.0",0.69*x3^2+ -1.16*x3* x2+ -2.31*x3*x1+2.31*x3*x0+1.06*x2^2+2.65*x2*x1+ -3.34*x2*x0+2.57*x1^2+ -5.30* x1*x0+3.34*x0^2 <=1.00
ex2_reset,"-1.00<=x3<=1.0
-1.00<=x2<=1.0
-1.64<=x1<=1.6
-1.64<=x0<=1.6
-1.00<=in0<=1.0",0.69*x3^2+ -1.16*x3* x2+ -2.31*x3*x1+2.31*x3*x0+1.06*x2^2+2.65*x2*x1+ -3.34*x2*x0+2.57*x1^2+ -5.30* x1*x0+3.34*x0^2 <=1.00
ex3_leadlag,none (soundness checking failed).,
ex3_reset_leadlag,none (soundness checking failed).,
ex4_gaussian,"-0.53<=x2 <= 0.53
-0.34<=x1 <= 0.34
-0.42<=x0 <= 0.42
-1.00<=in0 <= 1.00",3.88*x2^2 +2.42*x2*x1+ -2.43* x2*x0+12.19*x1^2+ -10.61*x1*x0+6.25*x0^2 <= 1.01
ex4_reset_gaussian,"-1.42<=x2 <= 1.42
-0.94<=x1 <= 1.00
-1.01<=x0 <= 1.01
-1.00<=in0 <= 1.00",3.88*x2^2 +2.42*x2*x1+ -2.43* x2*x0+12.19*x1^2+ -10.61*x1*x0+6.25*x0^2 <= 11.70
ex5_coupled_mass,"-4.38<=x3 <= 4.38
-4.34<=x2 <= 4.34
-4.72<=x1 <= 4.72
-4.57<=x0 <= 4.57
-1.00<=in1 <= 1.00
-1.00<=in0 <= 1.00",0.14 * x3^2+ -0.22*x3*x2+0.07*x3*x1+ -0.03*x3*x0+0.13*x2^2+ -0.08*x2*x1+0.02* x2*x0+0.06*x1^2+ -0.04*x1*x0+0.05*x0^2 <= 1.00
ex5_reset_coupled_mass,"-4.38<=x3 <= 4.38
-4.34<=x2 <= 4.34
-4.72<=x1 <= 4.72
-4.57<=x0 <= 4.57
-1.00<=in1 <= 1.00
-1.00<=in0 <= 1.00",0.14 * x3^2+ -0.22*x3*x2+0.07*x3*x1+ -0.03*x3*x0+0.13*x2^2+ -0.08*x2*x1+0.02* x2*x0+0.06*x1^2+ -0.04*x1*x0+0.05*x0^2 <= 1.00
ex6_butterworth,"-2.57<=x4<=2.5
-1.8<=x3<=1.8
-1.7<=x2<=1.7
-1.0<=x1<=1.0
-1.4<=x0<=1.4
-1.0<=in0<=1.0",0.51*x4^2+ 0.32*x4*x3+ -0.88*x4*x2+1.32*x4*x1+ -0.26*x4*x0+0.37*x3^2+ -0.62*x3*x2+ -0.23* x3*x1+0.13*x3*x0+0.99*x2^2+0.28*x2*x1+ -0.53*x2*x0+2.94*x1^2+ -1.89*x1*x0+ 0.57*x0^2 <=1.0
ex6_reset_butterworth,"-4.45<=x4<=4.4
-3.1<=x3<=3.1
-2.6<=x2<=2.6
-1.7<=x1<=1.7
-1.4<=x0<=1.4
-1.0<=in0<=1.0",0.51*x4^2+ 0.32*x4*x3+ -0.88*x4*x2+1.32*x4*x1+ -0.26*x4*x0+0.37*x3^2+ -0.62*x3*x2+ -0.23* x3*x1+0.13*x3*x0+0.99*x2^2+0.28*x2*x1+ -0.53*x2*x0+2.94*x1^2+ -1.89*x1*x0+ 0.57*x0^2 <=3.0
ex7_dampened,"-3.51<=x1 <= 3.51
-1.10<=x0 <= 1.10",0.10 * x1^2 + 0.11 * x1 * x0 + 1.00 * x0^2 <= 1.21
ex7_reset_dampened,"-3.51<=x1 <= 3.51
-1.10<=x0 <= 1.10",0.10 * x1^2 + 0.11 * x1 * x0 + 1.00 * x0^2 <= 1.21
ex8_harmonic,"-1.26<=x1 <= 1.26
-1.26<=x0 <= 1.26",1.00 * x1^2+-0.0* x1 * x0 + 1.00 * x0^2 <= 2.00
ex8_reset_harmonic,"-1.26<=x1 <= 1.26
-1.26<=x0<=1.26",1.00 * x1^2+-0.0* x1 * x0 + 1.00 * x0^2 <= 2.00